OrderID,ProductID,ProductName,Category,Price,Quantity,Date
1,33,Product_33,Clothing,172.9,4,2023-04-29
2,67,Product_67,Clothing,125.29,4,2023-07-29
3,59,Product_59,Electronics,110.14,3,2023-04-06
4,37,Product_37,Electronics,58.61,2,2023-10-19
5,54,Product_54,Books,111.57,5,2023-11-25
6,8,Product_8,Books,175.71,1,2023-09-27
7,60,Product_60,Electronics,166.33,4,2023-10-14
8,100,Product_100,Clothing,99.35,3,2023-09-06
9,65,Product_65,Electronics,80.4,1,2023-03-04
10,77,Product_77,Books,14.2,4,2023-09-15
11,95,Product_95,Books,27.57,5,2023-12-26
12,94,Product_94,Books,107.49,3,2023-07-03
13,33,Product_33,Clothing,172.9,1,2023-05-04
14,100,Product_100,Books,99.35,4,2023-01-12
15,19,Product_19,Books,82.7,2,2023-11-05
16,59,Product_59,Electronics,110.14,1,2023-10-09
17,76,Product_76,Clothing,61.21,1,2023-10-28
18,7,Product_7,Clothing,128.56,2,2023-08-03
19,30,Product_30,Electronics,114.16,4,2023-02-23
20,32,Product_32,Clothing,199.99,2,2023-01-09
21,68,Product_68,Books,192.02,5,2023-10-01
22,99,Product_99,Clothing,194.6,2,2023-09-21
23,69,Product_69,Clothing,123.52,4,2023-06-21
24,26,Product_26,Electronics,153.17,1,2023-08-25
25,25,Product_25,Books,86.96,4,2023-07-24
26,20,Product_20,Electronics,174.28,4,2023-10-23
27,89,Product_89,Electronics,168.99,2,2023-11-04
28,59,Product_59,Electronics,110.14,2,2023-03-16
29,87,Product_87,Electronics,11.19,3,2023-02-16
30,27,Product_27,Clothing,95.43,5,2023-02-07
31,52,Product_52,Electronics,188.63,5,2023-09-14
32,33,Product_33,Electronics,172.9,3,2023-12-09
33,74,Product_74,Books,61.87,5,2023-04-16
34,64,Product_64,Books,65.07,3,2023-03-04
35,58,Product_58,Electronics,101.32,5,2023-11-18
36,9,Product_9,Electronics,69.34,4,2023-10-17
37,7,Product_7,Books,128.56,5,2023-04-04
38,83,Product_83,Books,173.14,5,2023-04-03
39,64,Product_64,Clothing,65.07,4,2023-09-18
40,32,Product_32,Clothing,199.99,4,2023-10-19
41,17,Product_17,Electronics,57.27,3,2023-10-03
42,4,Product_4,Electronics,33.43,2,2024-01-01
43,84,Product_84,Electronics,92.25,1,2023-12-12
44,23,Product_23,Electronics,140.0,5,2023-01-04
45,16,Product_16,Books,22.87,3,2023-05-21
46,35,Product_35,Books,95.74,4,2023-09-11
47,71,Product_71,Clothing,96.9,3,2023-08-22
48,56,Product_56,Books,74.58,2,2023-10-30
49,63,Product_63,Clothing,168.5,3,2023-11-08
50,68,Product_68,Electronics,192.02,2,2023-10-23
51,3,Product_3,Clothing,18.94,2,2023-11-14
52,37,Product_37,Books,58.61,4,2023-02-16
53,86,Product_86,Electronics,19.85,2,2023-09-14
54,74,Product_74,Clothing,61.87,5,2023-02-07
55,40,Product_40,Books,27.06,4,2023-05-20
56,16,Product_16,Clothing,22.87,1,2023-08-24
57,25,Product_25,Clothing,86.96,2,2023-09-14
58,27,Product_27,Clothing,95.43,4,2023-05-20
59,100,Product_100,Books,99.35,4,2023-02-24
60,60,Product_60,Books,166.33,1,2023-03-27
61,36,Product_36,Clothing,57.95,3,2023-01-02
62,82,Product_82,Clothing,131.3,1,2023-07-14
63,49,Product_49,Books,87.42,1,2023-03-25
64,47,Product_47,Clothing,54.8,4,2023-03-01
65,70,Product_70,Clothing,154.44,1,2023-06-23
66,80,Product_80,Electronics,186.9,1,2023-04-27
67,2,Product_2,Clothing,131.92,3,2023-06-14
68,86,Product_86,Clothing,19.85,2,2023-10-23
69,48,Product_48,Books,126.16,2,2023-08-22
70,6,Product_6,Books,22.56,2,2023-02-02
71,34,Product_34,Books,164.9,1,2023-10-12
72,93,Product_93,Clothing,41.3,5,2023-11-28
73,40,Product_40,Electronics,27.06,1,2023-05-31
74,63,Product_63,Books,168.5,3,2023-09-29
75,1,Product_1,Electronics,133.16,5,2023-04-14
76,90,Product_90,Electronics,72.59,5,2023-12-02
77,4,Product_4,Books,33.43,3,2023-12-15
78,33,Product_33,Electronics,172.9,1,2023-08-09
79,56,Product_56,Electronics,74.58,2,2023-06-02
80,8,Product_8,Electronics,175.71,1,2023-04-28
81,65,Product_65,Books,80.4,3,2023-10-04
82,90,Product_90,Clothing,72.59,5,2023-12-22
83,62,Product_62,Books,69.21,3,2023-10-30
84,28,Product_28,Books,180.01,2,2023-03-18
85,60,Product_60,Clothing,166.33,2,2023-12-11
86,20,Product_20,Electronics,174.28,2,2023-05-13
87,67,Product_67,Clothing,125.29,5,2023-05-10
88,64,Product_64,Electronics,65.07,4,2023-09-22
89,23,Product_23,Electronics,140.0,3,2023-10-19
90,21,Product_21,Clothing,128.78,5,2023-03-09
91,75,Product_75,Clothing,43.86,1,2023-01-23
92,92,Product_92,Electronics,14.71,3,2023-08-22
93,1,Product_1,Electronics,133.16,1,2023-05-28
94,16,Product_16,Electronics,22.87,4,2023-05-28
95,66,Product_66,Books,141.58,5,2023-07-27
96,21,Product_21,Electronics,128.78,4,2023-04-22
97,61,Product_61,Clothing,167.99,1,2023-04-29
98,70,Product_70,Electronics,154.44,1,2023-08-13
99,28,Product_28,Books,180.01,5,2023-11-05
100,17,Product_17,Clothing,57.27,1,2023-11-20
101,9,Product_9,Clothing,69.34,1,2023-06-15
102,66,Product_66,Clothing,141.58,5,2023-04-23
103,46,Product_46,Clothing,155.67,4,2023-05-18
104,77,Product_77,Electronics,14.2,3,2023-03-02
105,7,Product_7,Electronics,128.56,3,2023-11-01
106,66,Product_66,Books,141.58,3,2023-06-01
107,7,Product_7,Books,128.56,3,2023-10-20
108,34,Product_34,Clothing,164.9,3,2023-10-31
109,93,Product_93,Books,41.3,1,2023-09-05
110,20,Product_20,Books,174.28,5,2023-03-23
111,6,Product_6,Books,22.56,1,2023-11-26
112,29,Product_29,Books,129.3,1,2023-04-20
113,19,Product_19,Clothing,82.7,2,2023-11-22
114,50,Product_50,Clothing,27.82,5,2023-01-10
115,78,Product_78,Electronics,169.45,1,2023-01-20
116,58,Product_58,Clothing,101.32,1,2023-02-08
117,29,Product_29,Clothing,129.3,4,2023-05-28
118,7,Product_7,Electronics,128.56,1,2023-03-03
119,16,Product_16,Electronics,22.87,1,2023-03-14
120,33,Product_33,Clothing,172.9,4,2023-03-07
121,48,Product_48,Clothing,126.16,3,2023-07-10
122,66,Product_66,Books,141.58,1,2023-11-13
123,24,Product_24,Electronics,68.46,1,2023-07-24
124,94,Product_94,Electronics,107.49,4,2023-11-01
125,73,Product_73,Electronics,94.31,1,2023-07-23
126,24,Product_24,Books,68.46,3,2023-02-28
127,86,Product_86,Clothing,19.85,3,2023-04-06
128,26,Product_26,Clothing,153.17,2,2023-05-19
129,99,Product_99,Electronics,194.6,5,2023-10-16
130,62,Product_62,Electronics,69.21,2,2023-04-05
131,21,Product_21,Clothing,128.78,5,2023-09-12
132,65,Product_65,Books,80.4,3,2023-11-09
133,42,Product_42,Electronics,165.04,3,2023-10-09
134,100,Product_100,Books,99.35,1,2023-02-06
135,38,Product_38,Books,171.06,4,2023-08-28
136,9,Product_9,Clothing,69.34,3,2023-09-08
137,58,Product_58,Electronics,101.32,1,2023-01-24
138,63,Product_63,Electronics,168.5,2,2023-03-29
139,46,Product_46,Electronics,155.67,5,2023-06-07
140,7,Product_7,Electronics,128.56,3,2023-06-08
141,90,Product_90,Books,72.59,1,2023-03-04
142,18,Product_18,Electronics,36.16,4,2023-05-12
143,5,Product_5,Electronics,100.62,5,2023-09-28
144,75,Product_75,Books,43.86,3,2023-06-20
145,78,Product_78,Electronics,169.45,3,2023-04-01
146,41,Product_41,Clothing,71.03,1,2023-03-12
147,23,Product_23,Clothing,140.0,5,2023-01-28
148,40,Product_40,Clothing,27.06,3,2023-10-22
149,40,Product_40,Electronics,27.06,2,2023-07-27
150,83,Product_83,Electronics,173.14,5,2023-08-11
151,42,Product_42,Clothing,165.04,3,2023-01-03
152,38,Product_38,Books,171.06,4,2023-04-01
153,62,Product_62,Books,69.21,3,2023-09-06
154,87,Product_87,Electronics,11.19,3,2023-06-26
155,37,Product_37,Electronics,58.61,1,2023-01-09
156,64,Product_64,Electronics,65.07,1,2023-06-24
157,57,Product_57,Electronics,105.09,5,2023-08-22
158,55,Product_55,Books,51.32,5,2023-01-18
159,31,Product_31,Clothing,159.67,2,2023-02-01
160,16,Product_16,Electronics,22.87,3,2023-01-04
161,26,Product_26,Clothing,153.17,1,2023-02-14
162,74,Product_74,Books,61.87,5,2023-04-03
163,40,Product_40,Electronics,27.06,4,2023-07-29
164,11,Product_11,Electronics,161.98,4,2023-01-25
165,13,Product_13,Books,109.75,3,2023-05-29
166,95,Product_95,Clothing,27.57,5,2023-11-07
167,98,Product_98,Electronics,130.4,4,2023-04-01
168,16,Product_16,Books,22.87,1,2023-12-02
169,25,Product_25,Electronics,86.96,1,2023-03-12
170,23,Product_23,Clothing,140.0,1,2023-07-22
171,27,Product_27,Electronics,95.43,3,2023-08-27
172,14,Product_14,Clothing,89.74,5,2023-06-22
173,40,Product_40,Electronics,27.06,1,2023-02-13
174,71,Product_71,Clothing,96.9,2,2023-10-11
